Gene	Synonym	ENSG	Description	expression
PDLIM1	"CLIM1, CLP-36, CLP36, hCLIM1"	ENSG00000107438	PDZ and LIM domain 1	LowTissSpecExpdInBrain
PDLIM4	RIL	ENSG00000131435	PDZ and LIM domain 4	LowTissSpecExpdInBrain
PDP2	"KIAA1348, PPM2B, PPM2C2"	ENSG00000172840	Pyruvate dehyrogenase phosphatase catalytic subunit 2	LowTissSpecExpdInBrain
PDPK1	PDK1	ENSG00000140992	3-phosphoinositide dependent protein kinase 1	LowTissSpecExpdInBrain
PDPR	PDP3	ENSG00000090857	Pyruvate dehydrogenase phosphatase regulatory subunit	LowTissSpecExpdInBrain
PDRG1	"C20orf126, dJ310O13.3"	ENSG00000088356	P53 and DNA damage regulated 1	LowTissSpecExpdInBrain
PDS5A	"KIAA0648, PIG54, SCC-112"	ENSG00000121892	PDS5 cohesin associated factor A	LowTissSpecExpdInBrain
PDS5B	"APRIN, AS3, CG008, FLJ23236, KIAA0979"	ENSG00000083642	PDS5 cohesin associated factor B	LowTissSpecExpdInBrain
PDSS2	"bA59I9.3, C6orf210"	ENSG00000164494	Decaprenyl diphosphate synthase subunit 2	LowTissSpecExpdInBrain
PDZD11	PDZK11	ENSG00000120509	PDZ domain containing 11	LowTissSpecExpdInBrain
PDZRN3	"KIAA1095, LNX3, SEMACAP3"	ENSG00000121440	PDZ domain containing ring finger 3	LowTissSpecExpdInBrain
PEAK1	"KIAA2002, sgk269"	ENSG00000173517	Pseudopodium enriched atypical kinase 1	LowTissSpecExpdInBrain
PEAR1	"FLJ00193, JEDI, MEGF12"	ENSG00000187800	Platelet endothelial aggregation receptor 1	LowTissSpecExpdInBrain
PEF1	PEF1A	ENSG00000162517	Penta-EF-hand domain containing 1	LowTissSpecExpdInBrain
PELI2		ENSG00000139946	Pellino E3 ubiquitin protein ligase family member 2	LowTissSpecExpdInBrain
PELI3	MGC35521	ENSG00000174516	Pellino E3 ubiquitin protein ligase family member 3	LowTissSpecExpdInBrain
PELO		ENSG00000152684	Pelota mRNA surveillance and ribosome rescue factor	LowTissSpecExpdInBrain
PELP1	MNAR	ENSG00000141456	"Proline, glutamate and leucine rich protein 1"	LowTissSpecExpdInBrain
PER1	"PER, RIGUI"	ENSG00000179094	Period circadian regulator 1	LowTissSpecExpdInBrain
PER2	KIAA0347	ENSG00000132326	Period circadian regulator 2	LowTissSpecExpdInBrain
PER3		ENSG00000049246	Period circadian regulator 3	LowTissSpecExpdInBrain
PES1	"NOP7, PES"	ENSG00000100029	Pescadillo ribosomal biogenesis factor 1	LowTissSpecExpdInBrain
PET117	CSRP2BP	ENSG00000232838	PET117 homolog	LowTissSpecExpdInBrain
PEX1	"ZWS, ZWS1"	ENSG00000127980	Peroxisomal biogenesis factor 1	LowTissSpecExpdInBrain
PEX10	RNF69	ENSG00000157911	Peroxisomal biogenesis factor 10	LowTissSpecExpdInBrain
PEX11A	"MGC119947, MGC138534, PEX11-ALPHA"	ENSG00000166821	Peroxisomal biogenesis factor 11 alpha	LowTissSpecExpdInBrain
PEX11B		ENSG00000131779	Peroxisomal biogenesis factor 11 beta	LowTissSpecExpdInBrain
PEX11G		ENSG00000104883	Peroxisomal biogenesis factor 11 gamma	LowTissSpecExpdInBrain
PEX12		ENSG00000108733	Peroxisomal biogenesis factor 12	LowTissSpecExpdInBrain
PEX13		ENSG00000162928	Peroxisomal biogenesis factor 13	LowTissSpecExpdInBrain
PEX14		ENSG00000142655	Peroxisomal biogenesis factor 14	LowTissSpecExpdInBrain
PEX16		ENSG00000121680	Peroxisomal biogenesis factor 16	LowTissSpecExpdInBrain
PEX19	"D1S2223E, HK33, PMP1, PMPI, PXF, PXMP1"	ENSG00000162735	Peroxisomal biogenesis factor 19	LowTissSpecExpdInBrain
PEX2	"PAF-1, PMP35, PXMP3, RNF72, ZWS3"	ENSG00000164751	Peroxisomal biogenesis factor 2	LowTissSpecExpdInBrain
PEX26	FLJ20695	ENSG00000215193	Peroxisomal biogenesis factor 26	LowTissSpecExpdInBrain
PEX3		ENSG00000034693	Peroxisomal biogenesis factor 3	LowTissSpecExpdInBrain
PEX5	"PTS1R, PXR1"	ENSG00000139197	Peroxisomal biogenesis factor 5	LowTissSpecExpdInBrain
PEX7	"PTS2R, RD"	ENSG00000112357	Peroxisomal biogenesis factor 7	LowTissSpecExpdInBrain
PFAS	"FGARAT, GATD8, KIAA0361, PURL"	ENSG00000178921	Phosphoribosylformylglycinamidine synthase	LowTissSpecExpdInBrain
PFDN1	PFD1	ENSG00000113068	Prefoldin subunit 1	LowTissSpecExpdInBrain
PFDN2		ENSG00000143256	Prefoldin subunit 2	LowTissSpecExpdInBrain
PFDN4	"C-1, C1, PFD4"	ENSG00000101132	Prefoldin subunit 4	LowTissSpecExpdInBrain
PFDN5	"MM-1, PFD5"	ENSG00000123349	Prefoldin subunit 5	LowTissSpecExpdInBrain
PFDN6	"H2-KE2, HKE2, KE-2, PFD6"	ENSG00000204220	Prefoldin subunit 6	LowTissSpecExpdInBrain
PFKFB2		ENSG00000123836	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"	LowTissSpecExpdInBrain
PFKL		ENSG00000141959	"Phosphofructokinase, liver type"	LowTissSpecExpdInBrain
PFKP	"PFK-C, PFKF"	ENSG00000067057	"Phosphofructokinase, platelet"	LowTissSpecExpdInBrain
PGAM1	"PGAM-B, PGAMA"	ENSG00000171314	Phosphoglycerate mutase 1	LowTissSpecExpdInBrain
PGAM4	"dJ1000K24.1, PGAM-B, PGAM1, PGAM3"	ENSG00000226784	Phosphoglycerate mutase family member 4	LowTissSpecExpdInBrain
PGAM5	"BXLBv68, MGC5352"	ENSG00000247077	"PGAM family member 5, mitochondrial serine/threonine protein phosphatase"	LowTissSpecExpdInBrain
PGAP1	"Bst1, FLJ12377, SPG67"	ENSG00000197121	Post-GPI attachment to proteins 1	LowTissSpecExpdInBrain
PGAP3	"CAB2, MGC9753, PER1, PERLD1, PP1498"	ENSG00000161395	Post-GPI attachment to proteins 3	LowTissSpecExpdInBrain
PGBD1	"dJ874C20.4, HUCEP-4, SCAND4"	ENSG00000137338	PiggyBac transposable element derived 1	LowTissSpecExpdInBrain
PGBD2		ENSG00000185220	PiggyBac transposable element derived 2	LowTissSpecExpdInBrain
PGGT1B	"BGGI, GGTI"	ENSG00000164219	Protein geranylgeranyltransferase type I subunit beta	LowTissSpecExpdInBrain
PGK1		ENSG00000102144	Phosphoglycerate kinase 1	LowTissSpecExpdInBrain
PGLS	6PGL	ENSG00000130313	6-phosphogluconolactonase	LowTissSpecExpdInBrain
PGM2	FLJ10983	ENSG00000169299	Phosphoglucomutase 2	LowTissSpecExpdInBrain
PGM3	"AGM1, DKFZP434B187, PAGM"	ENSG00000013375	Phosphoglucomutase 3	LowTissSpecExpdInBrain
PGPEP1	"Pcp, PGP, PGP-I, PGPI"	ENSG00000130517	Pyroglutamyl-peptidase I	LowTissSpecExpdInBrain
PGRMC2	"DG6, PMBP"	ENSG00000164040	Progesterone receptor membrane component 2	LowTissSpecExpdInBrain
PGS1	DKFZP762M186	ENSG00000087157	Phosphatidylglycerophosphate synthase 1	LowTissSpecExpdInBrain
PHACTR4	"FLJ13171, PPP1R124"	ENSG00000204138	Phosphatase and actin regulator 4	LowTissSpecExpdInBrain
PHAX	"FLJ13193, RNUXA"	ENSG00000164902	Phosphorylated adaptor for RNA export	LowTissSpecExpdInBrain
PHB	PHB1	ENSG00000167085	Prohibitin	LowTissSpecExpdInBrain
PHB2	"Bap37, BCAP37, p22, REA"	ENSG00000215021	Prohibitin 2	LowTissSpecExpdInBrain
PHC1	"EDR1, HPH1, RAE28"	ENSG00000111752	Polyhomeotic homolog 1	LowTissSpecExpdInBrain
PHC2	"EDR2, HPH2"	ENSG00000134686	Polyhomeotic homolog 2	LowTissSpecExpdInBrain
PHC3	"EDR3, FLJ12729, FLJ12967, HPH3"	ENSG00000173889	Polyhomeotic homolog 3	LowTissSpecExpdInBrain
PHF1	"MTF2L2, PCL1, TDRD19C"	ENSG00000112511	PHD finger protein 1	LowTissSpecExpdInBrain
PHF10	"BAF45a, FLJ10975, XAP135"	ENSG00000130024	PHD finger protein 10	LowTissSpecExpdInBrain
PHF11	"BCAP, IGER, NY-REN-34"	ENSG00000136147	PHD finger protein 11	LowTissSpecExpdInBrain
PHF12	"KIAA1523, PF1"	ENSG00000109118	PHD finger protein 12	LowTissSpecExpdInBrain
PHF13	MGC43399	ENSG00000116273	PHD finger protein 13	LowTissSpecExpdInBrain
PHF14	KIAA0783	ENSG00000106443	PHD finger protein 14	LowTissSpecExpdInBrain
PHF19	"DKFZP727G051, MTF2L1, PCL3, TDRD19B"	ENSG00000119403	PHD finger protein 19	LowTissSpecExpdInBrain
PHF2	"CENP-35, JHDM1E, KDM7C, KIAA0662"	ENSG00000197724	PHD finger protein 2	LowTissSpecExpdInBrain
PHF20	"C20orf104, dJ1121G12.1, TDRD20A"	ENSG00000025293	PHD finger protein 20	LowTissSpecExpdInBrain
PHF20L1	"CGI-72, FLJ13649, FLJ21615, MGC64923, TDRD20B"	ENSG00000129292	PHD finger protein 20 like 1	LowTissSpecExpdInBrain
PHF21A	"BHC80, BM-006, KIAA1696"	ENSG00000135365	PHD finger protein 21A	LowTissSpecExpdInBrain
PHF23	"FLJ16355, MGC2941"	ENSG00000040633	PHD finger protein 23	LowTissSpecExpdInBrain
PHF3		ENSG00000118482	PHD finger protein 3	LowTissSpecExpdInBrain
PHF5A	"bK223H9.2, INI, MGC1346, Rds3, SAP14b, SF3b14b, SF3B7"	ENSG00000100410	PHD finger protein 5A	LowTissSpecExpdInBrain
PHF6	"BFLS, BORJ, CENP-31, KIAA1823, MGC14797"	ENSG00000156531	PHD finger protein 6	LowTissSpecExpdInBrain
PHF8	"JHDM1F, KDM7B, KIAA1111, ZNF422"	ENSG00000172943	PHD finger protein 8	LowTissSpecExpdInBrain
PHGDH	"PDG, PGDH, SERA"	ENSG00000092621	Phosphoglycerate dehydrogenase	LowTissSpecExpdInBrain
PHIP	"BRWD2, DCAF14, FLJ20705, ndrp, WDR11"	ENSG00000146247	Pleckstrin homology domain interacting protein	LowTissSpecExpdInBrain
PHKA2	"PHK, PYK"	ENSG00000044446	Phosphorylase kinase regulatory subunit alpha 2	LowTissSpecExpdInBrain
PHKB		ENSG00000102893	Phosphorylase kinase regulatory subunit beta	LowTissSpecExpdInBrain
PHLDA3	TIH1	ENSG00000174307	Pleckstrin homology like domain family A member 3	LowTissSpecExpdInBrain
PHLDB3	FLJ40193	ENSG00000176531	Pleckstrin homology like domain family B member 3	LowTissSpecExpdInBrain
PHOSPHO2	MGC22679	ENSG00000144362	"Phosphatase, orphan 2"	LowTissSpecExpdInBrain
PHPT1	"bA216L13.10, CGI-202, DKFZp564M173, HSPC141, PHP14"	ENSG00000054148	Phosphohistidine phosphatase 1	LowTissSpecExpdInBrain
PHRF1	"KIAA1542, PPP1R125, RNF221"	ENSG00000070047	PHD and ring finger domains 1	LowTissSpecExpdInBrain
PHTF1	PHTF	ENSG00000116793	Putative homeodomain transcription factor 1	LowTissSpecExpdInBrain
PHYHD1	MGC16638	ENSG00000175287	Phytanoyl-CoA dioxygenase domain containing 1	LowTissSpecExpdInBrain
PHYKPL	"AGXT2L2, MGC15875"	ENSG00000175309	5-phosphohydroxy-L-lysine phospho-lyase	LowTissSpecExpdInBrain
PI15	P25TI	ENSG00000137558	Peptidase inhibitor 15	LowTissSpecExpdInBrain
PI4K2A	"DKFZP761G1923, PI4KII, PIK42A"	ENSG00000155252	Phosphatidylinositol 4-kinase type 2 alpha	LowTissSpecExpdInBrain
PI4KB	"PI4K-BETA, pi4K92, PIK4CB"	ENSG00000143393	Phosphatidylinositol 4-kinase beta	LowTissSpecExpdInBrain
PIAS1	"DDXBP1, GBP, GU/RH-II, ZMIZ3"	ENSG00000033800	Protein inhibitor of activated STAT 1	LowTissSpecExpdInBrain
PIAS3	"FLJ14651, ZMIZ5"	ENSG00000131788	Protein inhibitor of activated STAT 3	LowTissSpecExpdInBrain
PIAS4	"FLJ12419, Piasg, PIASY, ZMIZ6"	ENSG00000105229	Protein inhibitor of activated STAT 4	LowTissSpecExpdInBrain
PIBF1	"C13orf24, CEP90"	ENSG00000083535	Progesterone immunomodulatory binding factor 1	LowTissSpecExpdInBrain
PICALM	"CALM, CLTH"	ENSG00000073921	Phosphatidylinositol binding clathrin assembly protein	LowTissSpecExpdInBrain
PICK1	"dJ1039K5, MGC15204, PRKCABP"	ENSG00000100151	Protein interacting with PRKCA 1	LowTissSpecExpdInBrain
PID1	"FLJ20701, NYGGF4"	ENSG00000153823	Phosphotyrosine interaction domain containing 1	LowTissSpecExpdInBrain
PIEZO1	"FAM38A, KIAA0233"	ENSG00000103335	Piezo type mechanosensitive ion channel component 1	LowTissSpecExpdInBrain
PIGA	GPI3	ENSG00000165195	Phosphatidylinositol glycan anchor biosynthesis class A	LowTissSpecExpdInBrain
PIGB		ENSG00000069943	Phosphatidylinositol glycan anchor biosynthesis class B	LowTissSpecExpdInBrain
PIGC		ENSG00000135845	Phosphatidylinositol glycan anchor biosynthesis class C	LowTissSpecExpdInBrain
PIGF		ENSG00000151665	Phosphatidylinositol glycan anchor biosynthesis class F	LowTissSpecExpdInBrain
PIGG	"FLJ20265, GPI7, LAS21"	ENSG00000174227	Phosphatidylinositol glycan anchor biosynthesis class G	LowTissSpecExpdInBrain
PIGH	GPI-H	ENSG00000100564	Phosphatidylinositol glycan anchor biosynthesis class H	LowTissSpecExpdInBrain
PIGK	"GPI8, hGPI8"	ENSG00000142892	Phosphatidylinositol glycan anchor biosynthesis class K	LowTissSpecExpdInBrain
PIGL		ENSG00000108474	Phosphatidylinositol glycan anchor biosynthesis class L	LowTissSpecExpdInBrain
PIGM	GPI-MT-I	ENSG00000143315	Phosphatidylinositol glycan anchor biosynthesis class M	LowTissSpecExpdInBrain
PIGN	"MDC4, PIG-N"	ENSG00000197563	Phosphatidylinositol glycan anchor biosynthesis class N	LowTissSpecExpdInBrain
PIGO	"DKFZp434M222, FLJ00135"	ENSG00000165282	Phosphatidylinositol glycan anchor biosynthesis class O	LowTissSpecExpdInBrain
PIGP	"DCRC, DSCR5, DSRC"	ENSG00000185808	Phosphatidylinositol glycan anchor biosynthesis class P	LowTissSpecExpdInBrain
PIGQ	"GPI1, hGPI1"	ENSG00000007541	Phosphatidylinositol glycan anchor biosynthesis class Q	LowTissSpecExpdInBrain
PIGS		ENSG00000087111	Phosphatidylinositol glycan anchor biosynthesis class S	LowTissSpecExpdInBrain
PIGT		ENSG00000124155	Phosphatidylinositol glycan anchor biosynthesis class T	LowTissSpecExpdInBrain
PIGU	"bA346K17.2, CDC91L1, GAB1"	ENSG00000101464	Phosphatidylinositol glycan anchor biosynthesis class U	LowTissSpecExpdInBrain
PIGV	FLJ20477	ENSG00000060642	Phosphatidylinositol glycan anchor biosynthesis class V	LowTissSpecExpdInBrain
PIGW	"FLJ37433, Gwt1"	ENSG00000277161	Phosphatidylinositol glycan anchor biosynthesis class W	LowTissSpecExpdInBrain
PIGX	FLJ20522	ENSG00000163964	Phosphatidylinositol glycan anchor biosynthesis class X	LowTissSpecExpdInBrain
PIH1D1	"FLJ20643, NOP17"	ENSG00000104872	PIH1 domain containing 1	LowTissSpecExpdInBrain
PIK3C2A	PI3K-C2alpha	ENSG00000011405	Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	LowTissSpecExpdInBrain
PIK3C2B	"C2-PI3K, PI3K-C2beta"	ENSG00000133056	Phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	LowTissSpecExpdInBrain
PIK3C3	Vps34	ENSG00000078142	Phosphatidylinositol 3-kinase catalytic subunit type 3	LowTissSpecExpdInBrain
PIK3CA	PI3K	ENSG00000121879	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"	LowTissSpecExpdInBrain
PIK3CB	PIK3C1	ENSG00000051382	"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	LowTissSpecExpdInBrain
PIK3R1	"GRB1, p85, p85-ALPHA"	ENSG00000145675	Phosphoinositide-3-kinase regulatory subunit 1	LowTissSpecExpdInBrain
PIK3R2	"p85, P85B"	ENSG00000105647	Phosphoinositide-3-kinase regulatory subunit 2	LowTissSpecExpdInBrain
PIK3R3	p55	ENSG00000117461	Phosphoinositide-3-kinase regulatory subunit 3	LowTissSpecExpdInBrain
PIK3R4	"p150, VPS15"	ENSG00000196455	Phosphoinositide-3-kinase regulatory subunit 4	LowTissSpecExpdInBrain
PIKFYVE	"FAB1, KIAA0981, MGC40423, p235, PIKfyve, PIP5K, PIP5K3, ZFYVE29"	ENSG00000115020	"Phosphoinositide kinase, FYVE-type zinc finger containing"	LowTissSpecExpdInBrain
PIM1	PIM	ENSG00000137193	"Pim-1 proto-oncogene, serine/threonine kinase"	LowTissSpecExpdInBrain
PIM3		ENSG00000198355	"Pim-3 proto-oncogene, serine/threonine kinase"	LowTissSpecExpdInBrain
PINLYP		ENSG00000234465	Phospholipase A2 inhibitor and LY6/PLAUR domain containing	LowTissSpecExpdInBrain
PINX1	"FLJ20565, Gno1, LPTL, LPTS, MGC8850, PinX1, Pxr1"	ENSG00000254093	PIN2/TERF1 interacting telomerase inhibitor 1	LowTissSpecExpdInBrain
PIP4K2C	"FLJ22055, PIP5K2C"	ENSG00000166908	Phosphatidylinositol-5-phosphate 4-kinase type 2 gamma	LowTissSpecExpdInBrain
PIP4P1	"C14orf9, MGC26684, TMEM55B"	ENSG00000165782	"Phosphatidylinositol-4,5-bisphosphate 4-phosphatase 1"	LowTissSpecExpdInBrain
PIP4P2	"DKFZp762O076, TMEM55A"	ENSG00000155099	"Phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"	LowTissSpecExpdInBrain
PIP5K1A		ENSG00000143398	Phosphatidylinositol-4-phosphate 5-kinase type 1 alpha	LowTissSpecExpdInBrain
PIP5K1B	"MSS4, STM7"	ENSG00000107242	Phosphatidylinositol-4-phosphate 5-kinase type 1 beta	LowTissSpecExpdInBrain
PIP5K1C	"KIAA0589, LCCS3, PIP5Kgamma"	ENSG00000186111	Phosphatidylinositol-4-phosphate 5-kinase type 1 gamma	LowTissSpecExpdInBrain
PIP5KL1	"bA203J24.5, MGC46424"	ENSG00000167103	Phosphatidylinositol-4-phosphate 5-kinase like 1	LowTissSpecExpdInBrain
PIR		ENSG00000087842	Pirin	LowTissSpecExpdInBrain
PISD	"dJ858B16.2, PSDC"	ENSG00000241878	Phosphatidylserine decarboxylase	LowTissSpecExpdInBrain
PITHD1	"C1orf128, HT014, TXNL1CL"	ENSG00000057757	PITH domain containing 1	LowTissSpecExpdInBrain
PITPNA	"PITPN, VIB1A"	ENSG00000174238	Phosphatidylinositol transfer protein alpha	LowTissSpecExpdInBrain
PITPNB	VIB1B	ENSG00000180957	Phosphatidylinositol transfer protein beta	LowTissSpecExpdInBrain
PITPNC1	"RDGB-BETA, RDGBB, RDGBB1"	ENSG00000154217	"Phosphatidylinositol transfer protein, cytoplasmic 1"	LowTissSpecExpdInBrain
PITPNM1	"DRES9, NIR2, PITPNM, Rd9, RDGB, RDGB1, RDGBA1"	ENSG00000110697	Phosphatidylinositol transfer protein membrane associated 1	LowTissSpecExpdInBrain
PITRM1	"hMP1, KIAA1104, MP1, PreP"	ENSG00000107959	Pitrilysin metallopeptidase 1	LowTissSpecExpdInBrain
PJA2	"KIAA0438, Neurodap1, RNF131"	ENSG00000198961	Praja ring finger ubiquitin ligase 2	LowTissSpecExpdInBrain
PKD2	"Pc-2, PC2, PKD4, TRPP2"	ENSG00000118762	"Polycystin 2, transient receptor potential cation channel"	LowTissSpecExpdInBrain
PKDCC	"SgK493, Vlk"	ENSG00000162878	"Protein kinase domain containing, cytoplasmic"	LowTissSpecExpdInBrain
PKIG		ENSG00000168734	CAMP-dependent protein kinase inhibitor gamma	LowTissSpecExpdInBrain
PKN1	"DBK, MGC46204, PAK1, PKN, PRK1, PRKCL1"	ENSG00000123143	Protein kinase N1	LowTissSpecExpdInBrain
PKN2	"Pak-2, PRK2, PRKCL2, STK7"	ENSG00000065243	Protein kinase N2	LowTissSpecExpdInBrain
PKN3	"PKNbeta, UTDP4-1"	ENSG00000160447	Protein kinase N3	LowTissSpecExpdInBrain
PKNOX1	PREP1	ENSG00000160199	PBX/knotted 1 homeobox 1	LowTissSpecExpdInBrain
PKNOX2		ENSG00000165495	PBX/knotted 1 homeobox 2	LowTissSpecExpdInBrain
PLA2G12A	PLA2G12	ENSG00000123739	Phospholipase A2 group XIIA	LowTissSpecExpdInBrain
PLA2G15	"GXVPLA2, LLPL, LYPLA3"	ENSG00000103066	Phospholipase A2 group XV	LowTissSpecExpdInBrain
PLA2G6	"iPLA2, iPLA2beta, NBIA2, PARK14, PNPLA9"	ENSG00000184381	Phospholipase A2 group VI	LowTissSpecExpdInBrain
PLAA	"DOA1, FLJ11281, FLJ12699, PLA2P, PLAP"	ENSG00000137055	Phospholipase A2 activating protein	LowTissSpecExpdInBrain
PLAC9		ENSG00000189129	Placenta specific 9	LowTissSpecExpdInBrain
PLAG1	ZNF912	ENSG00000181690	PLAG1 zinc finger	LowTissSpecExpdInBrain
PLAGL2	ZNF900	ENSG00000126003	PLAG1 like zinc finger 2	LowTissSpecExpdInBrain
PLCD1		ENSG00000187091	Phospholipase C delta 1	LowTissSpecExpdInBrain
PLCG1	"NCKAP3, PLC-II, PLC1, PLC148, PLCgamma1"	ENSG00000124181	Phospholipase C gamma 1	LowTissSpecExpdInBrain
PLD2		ENSG00000129219	Phospholipase D2	LowTissSpecExpdInBrain
PLD3	HU-K4	ENSG00000105223	Phospholipase D family member 3	LowTissSpecExpdInBrain
PLEK2		ENSG00000100558	Pleckstrin 2	LowTissSpecExpdInBrain
PLEKHA1	TAPP1	ENSG00000107679	Pleckstrin homology domain containing A1	LowTissSpecExpdInBrain
PLEKHA2	TAPP2	ENSG00000169499	Pleckstrin homology domain containing A2	LowTissSpecExpdInBrain
PLEKHA3	FAPP1	ENSG00000116095	Pleckstrin homology domain containing A3	LowTissSpecExpdInBrain
PLEKHA4	PEPP1	ENSG00000105559	Pleckstrin homology domain containing A4	LowTissSpecExpdInBrain
PLEKHA5	"FLJ10667, KIAA1686, PEPP2"	ENSG00000052126	Pleckstrin homology domain containing A5	LowTissSpecExpdInBrain
PLEKHA7	DKFZp686M22243	ENSG00000166689	Pleckstrin homology domain containing A7	LowTissSpecExpdInBrain
PLEKHA8	"FAPP2, MGC3358"	ENSG00000106086	Pleckstrin homology domain containing A8	LowTissSpecExpdInBrain
PLEKHB2	"EVT2, FLJ20783"	ENSG00000115762	Pleckstrin homology domain containing B2	LowTissSpecExpdInBrain
PLEKHF2	"FLJ13187, PHAFIN2, ZFYVE18"	ENSG00000175895	Pleckstrin homology and FYVE domain containing 2	LowTissSpecExpdInBrain
PLEKHG2	"ARHGEF42, CLG, FLJ00018"	ENSG00000090924	Pleckstrin homology and RhoGEF domain containing G2	LowTissSpecExpdInBrain
PLEKHG3	"ARHGEF43, KIAA0599"	ENSG00000126822	Pleckstrin homology and RhoGEF domain containing G3	LowTissSpecExpdInBrain
PLEKHG4B	KIAA1909	ENSG00000153404	Pleckstrin homology and RhoGEF domain containing G4B	LowTissSpecExpdInBrain
PLEKHH2	"KIAA2028, PLEKHH1L"	ENSG00000152527	"Pleckstrin homology, MyTH4 and FERM domain containing H2"	LowTissSpecExpdInBrain
PLEKHJ1	FLJ10297	ENSG00000104886	Pleckstrin homology domain containing J1	LowTissSpecExpdInBrain
PLEKHM1	KIAA0356	ENSG00000225190	Pleckstrin homology and RUN domain containing M1	LowTissSpecExpdInBrain
PLEKHM2	KIAA0842	ENSG00000116786	Pleckstrin homology and RUN domain containing M2	LowTissSpecExpdInBrain
PLEKHM3	"DAPR, PLEKHM1L"	ENSG00000178385	Pleckstrin homology domain containing M3	LowTissSpecExpdInBrain
PLGRKT	"AD025, C9orf46, FLJ14688, MDS030, Plg-RKT"	ENSG00000107020	Plasminogen receptor with a C-terminal lysine	LowTissSpecExpdInBrain
PLIN3	"M6PRBP1, PP17, TIP47"	ENSG00000105355	Perilipin 3	LowTissSpecExpdInBrain
PLK2	SNK	ENSG00000145632	Polo like kinase 2	LowTissSpecExpdInBrain
PLK3	"CNK, FNK, PRK"	ENSG00000173846	Polo like kinase 3	LowTissSpecExpdInBrain
PLOD1	"LH1, LLH, PLOD"	ENSG00000083444	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	LowTissSpecExpdInBrain
PLOD3	LH3	ENSG00000106397	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3"	LowTissSpecExpdInBrain
PLP2	"A4, A4-LSB, MGC126187"	ENSG00000102007	Proteolipid protein 2	LowTissSpecExpdInBrain
PLPBP	PROSC	ENSG00000147471	Pyridoxal phosphate binding protein	LowTissSpecExpdInBrain
PLPP1	"LPP1, PAP-2a, PPAP2A"	ENSG00000067113	Phospholipid phosphatase 1	LowTissSpecExpdInBrain
PLPP2	"LPP2, PAP-2c, PPAP2C"	ENSG00000141934	Phospholipid phosphatase 2	LowTissSpecExpdInBrain
PLPP3	"LPP3, PAP-2b, PPAP2B"	ENSG00000162407	Phospholipid phosphatase 3	LowTissSpecExpdInBrain
PLPP6	"FLJ46512, FLJ90191, PDP1, PPAPDC2"	ENSG00000205808	Phospholipid phosphatase 6	LowTissSpecExpdInBrain
PLPPR2	"LPPR2, PRG-4"	ENSG00000105520	Phospholipid phosphatase related 2	LowTissSpecExpdInBrain
PLRG1	"Cwc1, PRL1, Prp46, PRPF46, TANGO4"	ENSG00000171566	Pleiotropic regulator 1	LowTissSpecExpdInBrain
PLS3	T-plastin	ENSG00000102024	Plastin 3	LowTissSpecExpdInBrain
PLSCR1	MMTRA1B	ENSG00000188313	Phospholipid scramblase 1	LowTissSpecExpdInBrain
PLSCR3		ENSG00000187838	Phospholipid scramblase 3	LowTissSpecExpdInBrain
PLSCR4		ENSG00000114698	Phospholipid scramblase 4	LowTissSpecExpdInBrain
PLTP	BPIFE	ENSG00000100979	Phospholipid transfer protein	LowTissSpecExpdInBrain
PLXDC1	"TEM3, TEM7"	ENSG00000161381	Plexin domain containing 1	LowTissSpecExpdInBrain
PLXDC2	"FLJ14623, TEM7R"	ENSG00000120594	Plexin domain containing 2	LowTissSpecExpdInBrain
PLXNA1	"NOV, PLXN1"	ENSG00000114554	Plexin A1	LowTissSpecExpdInBrain
PLXNA3	"6.3, Plxn3, PLXN4, SEX, XAP-6"	ENSG00000130827	Plexin A3	LowTissSpecExpdInBrain
PLXNB2	"KIAA0315, MM1, PLEXB2"	ENSG00000196576	Plexin B2	LowTissSpecExpdInBrain
PLXND1	KIAA0620	ENSG00000004399	Plexin D1	LowTissSpecExpdInBrain
PM20D2	"ACY1L2, bA63L7.3"	ENSG00000146281	Peptidase M20 domain containing 2	LowTissSpecExpdInBrain
PMF1		ENSG00000160783	Polyamine modulated factor 1	LowTissSpecExpdInBrain
PMF1-BGLAP		ENSG00000260238	PMF1-BGLAP readthrough	LowTissSpecExpdInBrain
PML	"MYL, RNF71, TRIM19"	ENSG00000140464	Promyelocytic leukemia	LowTissSpecExpdInBrain
PMM1	Sec53	ENSG00000100417	Phosphomannomutase 1	LowTissSpecExpdInBrain
